roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
ContC_PFCm_3_R	2099.90204	1029736.264619	6563740.988294	-5534004.723675	-1.557712
ContC_pCun_1_R	378.897583	2774243.592502	2868347.632344	-94104.039842	-0.026488
SalVenAttnA_FrMed_1_R	1874.611615	4929340.474374	6079990.503908	-1150650.029534	-0.323885
SalVenAttnA_FrMed_2_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
SalVenAttnA_FrMed_3_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
SalVenAttnA_FrOper_1_R	1765.75815	9264665.683491	5846257.017805	3418408.665686	0.962214
SalVenAttnA_FrOper_2_R	1765.75815	10018208.793192	5846257.017805	4171951.775387	1.174321
SalVenAttnA_IPL_1_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
SalVenAttnA_IPL_2_R	1009.766835	8515487.503171	4222969.366664	4292518.136507	1.208258
SalVenAttnA_Ins_1_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
SalVenAttnA_Ins_2_R	2200.098994	10018208.793192	6778886.949475	3239321.843717	0.911804
SalVenAttnA_Ins_3_R	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
SalVenAttnA_PFCmp_1_R	2099.90204	3721194.657877	6563740.988294	-2842546.330417	-0.80012
