roi_index	roi_name	slope	intercept	population_residual	r_squared
37	DefaultC_RSC_3_L	0.111295	0.06777	0.166233	0.00748
38	DefaultC_pCun_1_L	-0.034331	0.079685	0.166809	0.000588
39	DefaultC_pCun_2_L	0.084105	0.07284	0.1667	0.001902
40	DefaultC_pCun_3_L	0.116049	0.068348	0.166273	0.007002
41	Language_IFG_1_L	0.491059	-0.014977	0.110063	0.564907
42	Language_IFG_2_L	1.050209	-0.001601	0.105486	0.600341
43	Language_IPL_1_L	0.469762	0.053612	0.160371	0.076252
44	Language_PFCd_1_L	0.319863	0.0325	0.157361	0.110595
45	Language_PFCd_2_L	0.483387	0.018384	0.146684	0.227195
46	Language_PFCl_1_L	0.408129	0.023082	0.146395	0.230235
47	Language_Temp_1_L	0.376247	0.044721	0.156929	0.115475
48	Language_Temp_2_L	0.248785	0.050859	0.159343	0.088051
49	Language_Temp_3_L	0.451339	0.046102	0.155289	0.133867
50	Language_TempPole_1_L	0.242739	0.053067	0.160684	0.072644
51	ContA_Cingm_1_L	0.238201	0.037724	0.159494	0.086319
52	ContA_IPS_1_L	0.423763	0.058672	0.16217	0.055408
53	ContA_IPS_2_L	0.320441	0.062648	0.1642	0.031614
54	ContA_IPS_3_L	0.130588	0.071208	0.166385	0.005665
55	ContA_Ins_1_L	2.044422	0.01782	0.11693	0.508916
56	ContA_OFC_1_L	2.207795	0.022984	0.120162	0.481396
57	ContA_PFCd_1_L	0.401007	0.027746	0.151373	0.176997
58	ContA_PFCl_1_L	0.450334	0.01601	0.139572	0.30032
59	ContA_PFCl_2_L	0.520076	-0.008092	0.118435	0.496192
60	ContA_PFCl_3_L	0.819012	-0.005651	0.110236	0.563538
61	ContA_PFCl_4_L	0.660237	-0.000671	0.122771	0.45863
62	ContA_Temp_1_L	0.295954	0.043153	0.158032	0.102996
63	ContB_FPole_1_L	0.655604	0.021237	0.141957	0.276204
64	ContB_IPL_1_L	0.27757	0.056263	0.161883	0.058754
65	ContB_IPL_2_L	0.289741	0.053755	0.16138	0.064593
66	ContB_IPS_1_L	0.222057	0.060118	0.163828	0.035991
67	ContB_OFC_1_L	1.07644	0.008795	0.119863	0.483973
68	ContB_OFC_2_L	0.930139	0.02924	0.14549	0.239726
69	ContB_OFC_3_L	0.956453	0.035635	0.149907	0.192859
70	ContB_PCC_1_L	0.767517	0.052323	0.161084	0.068016
71	ContB_PFCd_1_L	0.754351	0.02044	0.144517	0.249857
72	ContB_PFCmp_1_L	0.31518	0.025702	0.153954	0.148692
73	ContB_Temp_1_L	0.244065	0.049045	0.159348	0.087998
74	ContB_Temp_2_L	0.299827	0.046343	0.158624	0.096265
75	ContC_Cingp_1_L	0.176521	0.065213	0.16585	0.01205
76	ContC_Cingp_2_L	0.096978	0.062469	0.165959	0.010756
77	ContC_FPole_1_L	0.625287	0.016998	0.141069	0.285228
